name,time
Pistachio chicken,1 hr
Turkey Biryani,50 mins
Healthy Chicken Korma,1 hr
Brown Lentil Dhal,30 mins
Thari Wala Chicken,50 mins
Lamb Dhansak,1 hr 20 mins
Chicken Pasanda,40 mins
Achaari Bangun,50 mins
Aloo Bangun,50 mins
Bombay Aloo,40 mins
Coastal Squid Curry,25 mins
Hariyali Chicken,1 hr
Cabbage Thoran,30 mins
Chilli Paneer Recipe,20 mins
Ajwainy Monkfish,45 mins
Aloo Parantha,30 mins
Aloo Tama Bodi,30 mins
Aloo Tikki,30 mins
Amchoor Stuffed Bangun,30 mins
Amla and Beetroot Tikki,45 mins
Asparagus and Pea Soup with Parsnip Crisps,40 mins
Beetroot and Coconut Samosa,40 mins
Black Lentil and Split Chickpea Dhal,50 mins
Bonda's,40 mins
Broccoli Tikki,40 mins
Cauliflower Shorba,40 mins
Chettinad Chicken,40 mins
Chicken Balti,1 hr
Chicken Balti Pie,1 hr
Chicken Dopiaza,55 mins
Chicken Jalfrezi,1 hr
Chicken Korma Recipe,1 hr
Chicken Shashlik,1 hr 35 mins
Chocolate Easter Eggs,1 hr
Chole Bhatura,1 hr 30 mins
Cockle Curry,20 mins
Coorg Pandi Curry,50 mins
Crispy Hot Wings,30 mins
Curried Butternut Squash Soup,50 mins
Dal Bhat,30 mins
Dhal Makhani,40 mins
Dhum Aloo,40 mins
Festive Indian Sausage Roll Ring,2 hrs 15 mins
Fish Amritsari,45 mins
Fish Cakes with a Vermicelli Crunch,40 mins
Fish Pakora,50 mins
Fried Okra,40 mins
Goan Fish Curry,50 mins
Gobi Masallum,55 mins
Gol Guppa,55 mins
Hot Fiery Chicken Wings,50 mins
Hot Sticky Wings,40 mins
Indian Duck Breast with Tamarind Jam,30 mins
Indian Sausage Rolls,2 hrs 15 mins
Indonesian Sweet and Spicy wings,1 hr 10 mins
Jeera Chicken Wings,50 mins
Karahi Paneer,30 mins
Keema,50 mins
Keema Pie,1 hr
Kharee,1 hr
Kheer,55 mins
Laal Maas,1 hr
Lamb Bunny Chow,1 hr 45 mins
Lamb Jalfrezi,1 hr
Lamb with Shallots,1 hr
Leftover Lamb Tagine,1 hr 20 mins
Lemon Rice,40 mins
Malabar Prawns,45 mins
Malagasy Laoka with Vanilla Rice,30 mins
Marrow Curry,40 mins
Methi Murgh,40 mins
Monkfish Curry,35 mins
Murgh Makhani,50 mins
Muttar Paneer,50 mins
Mutton Nihari,4 hrs 20 mins
Mutton Rara,1 hr 10 mins
Paapri Chaat,55 mins
Paneer Makhani,40 mins
Paneer with Mixed Vegetables,40 mins
Parantha,30 mins
Plain Aloo Tikki,30 mins
Pudla,40 mins
Pumpkin Halwa,30 mins
Punjabi Chicken Wings,50 mins
Punjabi Style Stuffed Karela,1 hr
Rajasthani Lamb,1 hr
Red Lentil Dhal,30 mins
Roasties with a Sesame Crunch,50 mins
Saag Aloo,35 mins
Saag Paneer,50 mins
Samosa,40 mins
Scallops in a Saffron Broth,50 mins
Shammi Kebabs,40 mins
Sooka Masala Lamb,1 hr 20 mins
Sooke Moong Dhal,20 mins
Spiced Cauliflower Rice,20 mins
Spiced Fish Pie,55 mins
Spiced Lamb Neck Fillet on a Watercress Masala,1 hr
Spicy Asian Wings,30 mins
Spicy Bacon Paratha,30 mins
Spicy Lemon Roasted Potatoes,55 mins
Spicy Potato Wedges,40 mins
Sweet Coconut Pancakes,40 mins
Sweet Potato and Spinach Curry,30 mins
Tandoori Fish,45 mins
Tandoori Paneer,1 hr
Tandoori Sabjee,1 hr
Tandoori Style Lamb Neck Fillet,40 mins
Tangy Tamarind Prawns,1 hr
Turkey Tikka Masala,30 mins
Turnip Chana Dhal,50 mins
